"prname","date","numdeaths","numtotal","numrecover"
"Yukon","31-05-2020",0,11,11
"Northwest Territories","31-05-2020",0,5,5
"Nunavut","31-05-2020",0,0,0
"Repatriated travellers","31-05-2020",NA,13,13
"Canada","31-05-2020",7295,90947,48892
"British Columbia","01-06-2020",165,2597,2207
"Alberta","01-06-2020",143,7044,6501
"Saskatchewan","01-06-2020",11,646,588
"Manitoba","01-06-2020",7,295,278
"Ontario","01-06-2020",2276,28263,22153
"Quebec","01-06-2020",4661,51354,16597
"Newfoundland and Labrador","01-06-2020",3,261,255
"New Brunswick","01-06-2020",0,132,120
"Nova Scotia","01-06-2020",60,1057,984
"Prince Edward Island","01-06-2020",0,27,27
"Yukon","01-06-2020",0,11,11
"Northwest Territories","01-06-2020",0,5,5
"Nunavut","01-06-2020",0,0,0
"Repatriated travellers","01-06-2020",NA,13,13
"Canada","01-06-2020",7326,91705,49739
"British Columbia","02-06-2020",165,2601,2229
"Alberta","02-06-2020",143,7057,6537
"Saskatchewan","02-06-2020",11,646,602
"Manitoba","02-06-2020",7,297,278
"Ontario","02-06-2020",2293,28709,22484
"Quebec","02-06-2020",4713,51593,16803
"Newfoundland and Labrador","02-06-2020",3,261,256
"New Brunswick","02-06-2020",0,133,120
"Nova Scotia","02-06-2020",60,1057,992
"Prince Edward Island","02-06-2020",0,27,27
"Yukon","02-06-2020",0,11,11
"Northwest Territories","02-06-2020",0,5,5
"Nunavut","02-06-2020",0,0,0
"Repatriated travellers","02-06-2020",NA,13,13
"Canada","02-06-2020",7395,92410,50357
"British Columbia","03-06-2020",166,2623,2243
"Alberta","03-06-2020",145,7076,6587
"Saskatchewan","03-06-2020",11,647,602
"Manitoba","03-06-2020",7,298,282
"Ontario","03-06-2020",2312,29047,22811
"Quebec","03-06-2020",4794,51884,17098
"Newfoundland and Labrador","03-06-2020",3,261,256
"New Brunswick","03-06-2020",0,135,120
"Nova Scotia","03-06-2020",60,1058,993
"Prince Edward Island","03-06-2020",0,27,27
"Yukon","03-06-2020",0,11,11
"Northwest Territories","03-06-2020",0,5,5
"Nunavut","03-06-2020",0,0,0
"Repatriated travellers","03-06-2020",NA,13,13
"Canada","03-06-2020",7498,93085,51048
"British Columbia","04-06-2020",166,2632,2265
"Alberta","04-06-2020",146,7091,6611
"Saskatchewan","04-06-2020",11,648,608
"Manitoba","04-06-2020",7,298,284
"Ontario","04-06-2020",2357,29403,23208
"Quebec","04-06-2020",4885,52143,17336
"Newfoundland and Labrador","04-06-2020",3,261,256
"New Brunswick","04-06-2020",1,136,120
"Nova Scotia","04-06-2020",61,1058,995
"Prince Edward Island","04-06-2020",0,27,27
"Yukon","04-06-2020",0,11,11
"Northwest Territories","04-06-2020",0,5,5
"Nunavut","04-06-2020",0,0,0
"Repatriated travellers","04-06-2020",NA,13,13
"Canada","04-06-2020",7637,93726,51739
"British Columbia","05-06-2020",167,2632,2272
"Alberta","05-06-2020",146,7098,6624
"Saskatchewan","05-06-2020",11,649,611
"Manitoba","05-06-2020",7,300,284
"Ontario","05-06-2020",2372,29747,23583
"Quebec","05-06-2020",4935,52398,17764
"Newfoundland and Labrador","05-06-2020",3,261,256
"New Brunswick","05-06-2020",1,136,121
"Nova Scotia","05-06-2020",61,1058,997
"Prince Edward Island","05-06-2020",0,27,27
"Yukon","05-06-2020",0,11,11
"Northwest Territories","05-06-2020",0,5,5
"Nunavut","05-06-2020",0,0,0
"Repatriated travellers","05-06-2020",NA,13,13
"Canada","05-06-2020",7703,94335,52568
"British Columbia","06-06-2020",167,2632,2272
"Alberta","06-06-2020",146,7138,6656
"Saskatchewan","06-06-2020",11,650,611
"Manitoba","06-06-2020",7,300,284
"Ontario","06-06-2020",2407,30202,23947
"Quebec","06-06-2020",4970,52624,18412
"Newfoundland and Labrador","06-06-2020",3,261,256
"New Brunswick","06-06-2020",1,136,121
"Nova Scotia","06-06-2020",61,1058,999
"Prince Edward Island","06-06-2020",0,27,27
"Yukon","06-06-2020",0,11,11
"Northwest Territories","06-06-2020",0,5,5
"Nunavut","06-06-2020",0,0,0
"Repatriated travellers","06-06-2020",NA,13,13
"Canada","06-06-2020",7773,95057,53614
"British Columbia","07-06-2020",167,2632,2272
"Alberta","07-06-2020",146,7138,6656
"Saskatchewan","07-06-2020",11,650,623
"Manitoba","07-06-2020",7,300,284
"Ontario","07-06-2020",2426,30617,24252
"Quebec","07-06-2020",4978,52849,18714
"Newfoundland and Labrador","07-06-2020",3,261,256
"New Brunswick","07-06-2020",1,137,121
"Nova Scotia","07-06-2020",61,1059,999
"Prince Edward Island","07-06-2020",0,27,27
"Yukon","07-06-2020",0,11,11
"Northwest Territories","07-06-2020",0,5,5
"Nunavut","07-06-2020",0,0,0
"Repatriated travellers","07-06-2020",NA,13,13
"Canada","07-06-2020",7800,95699,54233
"British Columbia","08-06-2020",167,2659,2309
"Alberta","08-06-2020",149,7202,6698
"Saskatchewan","08-06-2020",13,654,624
"Manitoba","08-06-2020",7,300,284
"Ontario","08-06-2020",2450,30860,24492
"Quebec","08-06-2020",4984,53047,18994
"Newfoundland and Labrador","08-06-2020",3,261,256
"New Brunswick","08-06-2020",1,146,121
"Nova Scotia","08-06-2020",61,1059,999
"Prince Edward Island","08-06-2020",0,27,27
"Yukon","08-06-2020",0,11,11
"Northwest Territories","08-06-2020",0,5,5
"Nunavut","08-06-2020",0,0,0
"Repatriated travellers","08-06-2020",NA,13,13
"Canada","08-06-2020",7835,96244,54833
"British Columbia","09-06-2020",167,2669,2319
"Alberta","09-06-2020",151,7229,6722
"Saskatchewan","09-06-2020",13,656,624
"Manitoba","09-06-2020",7,300,285
"Ontario","09-06-2020",2464,31090,24829
"Quebec","09-06-2020",5029,53185,19361
"Newfoundland and Labrador","09-06-2020",3,261,256
"New Brunswick","09-06-2020",1,147,121
"Nova Scotia","09-06-2020",62,1060,999
"Prince Edward Island","09-06-2020",0,27,27
"Yukon","09-06-2020",0,11,11
"Northwest Territories","09-06-2020",0,5,5
"Nunavut","09-06-2020",0,0,0
"Repatriated travellers","09-06-2020",NA,13,13
"Canada","09-06-2020",7897,96653,55572
"British Columbia","10-06-2020",167,2680,2328
"Alberta","10-06-2020",151,7276,6754
"Saskatchewan","10-06-2020",13,658,624
"Manitoba","10-06-2020",7,300,285
"Ontario","10-06-2020",2475,31341,25380
"Quebec","10-06-2020",5081,53341,19841
"Newfoundland and Labrador","10-06-2020",3,261,256
"New Brunswick","10-06-2020",1,151,121
"Nova Scotia","10-06-2020",62,1061,994
"Prince Edward Island","10-06-2020",0,27,27
"Yukon","10-06-2020",0,11,11
"Northwest Territories","10-06-2020",0,5,5
"Nunavut","10-06-2020",0,0,0
"Repatriated travellers","10-06-2020",NA,13,13
"Canada","10-06-2020",7960,97125,56639
"British Columbia","11-06-2020",167,2694,2344
"Alberta","11-06-2020",149,7316,6788
"Saskatchewan","11-06-2020",13,660,626
"Manitoba","11-06-2020",7,300,286
"Ontario","11-06-2020",2487,31544,25885
"Quebec","11-06-2020",5105,53485,20299
"Newfoundland and Labrador","11-06-2020",3,261,256
"New Brunswick","11-06-2020",1,153,123
"Nova Scotia","11-06-2020",62,1061,995
"Prince Edward Island","11-06-2020",0,27,27
"Yukon","11-06-2020",0,11,11
"Northwest Territories","11-06-2020",0,5,5
"Nunavut","11-06-2020",0,0,0
"Repatriated travellers","11-06-2020",NA,13,13
"Canada","11-06-2020",7994,97530,57658
"British Columbia","12-06-2020",168,2709,2354
"Alberta","12-06-2020",149,7346,6811
"Saskatchewan","12-06-2020",13,663,627
"Manitoba","12-06-2020",7,301,289
"Ontario","12-06-2020",2498,31726,26187
"Quebec","12-06-2020",5148,53666,20823
"Newfoundland and Labrador","12-06-2020",3,261,256
"New Brunswick","12-06-2020",1,154,125
"Nova Scotia","12-06-2020",62,1061,995
"Prince Edward Island","12-06-2020",0,27,27
"Yukon","12-06-2020",0,11,11
"Northwest Territories","12-06-2020",0,5,5
"Nunavut","12-06-2020",0,0,0
"Repatriated travellers","12-06-2020",NA,13,13
"Canada","12-06-2020",8049,97943,58523
"British Columbia","13-06-2020",168,2709,2354
"Alberta","13-06-2020",150,7383,6830
"Saskatchewan","13-06-2020",13,664,628
"Manitoba","13-06-2020",7,303,289
"Ontario","13-06-2020",2507,31992,26538
"Quebec","13-06-2020",5195,53824,21281
"Newfoundland and Labrador","13-06-2020",3,261,256
"New Brunswick","13-06-2020",2,157,126
"Nova Scotia","13-06-2020",62,1061,996
"Prince Edward Island","13-06-2020",0,27,27
"Yukon","13-06-2020",0,11,11
"Northwest Territories","13-06-2020",0,5,5
"Nunavut","13-06-2020",0,0,0
"Repatriated travellers","13-06-2020",NA,13,13
"Canada","13-06-2020",8107,98410,59354
"British Columbia","14-06-2020",168,2709,2354
"Alberta","14-06-2020",150,7433,6861
"Saskatchewan","14-06-2020",13,665,628
"Manitoba","14-06-2020",7,304,289
"Ontario","14-06-2020",2519,32189,26961
"Quebec","14-06-2020",5222,53952,21742
"Newfoundland and Labrador","14-06-2020",3,261,256
"New Brunswick","14-06-2020",2,157,129
"Nova Scotia","14-06-2020",62,1061,996
"Prince Edward Island","14-06-2020",0,27,27
"Yukon","14-06-2020",0,11,11
"Northwest Territories","14-06-2020",0,5,5
"Nunavut","14-06-2020",0,0,0
"Repatriated travellers","14-06-2020",NA,13,13
"Canada","14-06-2020",8146,98787,60272
"British Columbia","15-06-2020",168,2745,2395
"Alberta","15-06-2020",151,7453,6862
"Saskatchewan","15-06-2020",13,683,629
"Manitoba","15-06-2020",7,304,292
"Ontario","15-06-2020",2527,32370,27213
"Quebec","15-06-2020",5242,54054,22213
"Newfoundland and Labrador","15-06-2020",3,261,257
"New Brunswick","15-06-2020",2,160,129
"Nova Scotia","15-06-2020",62,1061,996
"Prince Edward Island","15-06-2020",0,27,27
"Yukon","15-06-2020",0,11,11
"Northwest Territories","15-06-2020",0,5,5
"Nunavut","15-06-2020",0,0,0
"Repatriated travellers","15-06-2020",NA,13,13
"Canada","15-06-2020",8175,99147,61042
