province,province_code,region,population,date,cases,deaths,recovered,tested
Alberta,AB,Prairies,4067175,2020-05-12,45,1,207,2706
Saskatchewan,SK,Prairies,1098352,2020-05-12,5,0,11,216
Manitoba,MB,Prairies,1278365,2020-05-12,1,0,4,401
Ontario,ON,Central,13448494,2020-05-12,361,56,260,11566
Quebec,QC,Central,8164361,2020-05-12,756,118,353,6649
Newfoundland and Labrador,NL,Atlantic,519716,2020-05-12,0,0,3,147
New Brunswick,NB,Atlantic,747101,2020-05-12,0,0,0,155
Nova Scotia,NS,Atlantic,923598,2020-05-12,1,0,97,407
Prince Edward Island,PE,Atlantic,142907,2020-05-12,0,0,0,119
Yukon,YT,North,35874,2020-05-12,0,0,0,6
Northwest Territories,NT,North,41786,2020-05-12,0,0,0,8
Nunavut,NU,North,35944,2020-05-12,0,0,0,28
British Columbia,BC,West Coast,4648055,2020-05-13,16,1,27,1502
Alberta,AB,Prairies,4067175,2020-05-13,62,2,210,3416
Saskatchewan,SK,Prairies,1098352,2020-05-13,4,0,11,388
Manitoba,MB,Prairies,1278365,2020-05-13,0,0,0,617
Ontario,ON,Central,13448494,2020-05-13,329,40,454,14642
Quebec,QC,Central,8164361,2020-05-13,706,89,414,5640
Newfoundland and Labrador,NL,Atlantic,519716,2020-05-13,0,0,0,106
New Brunswick,NB,Atlantic,747101,2020-05-13,0,0,0,426
Nova Scotia,NS,Atlantic,923598,2020-05-13,4,3,6,381
Prince Edward Island,PE,Atlantic,142907,2020-05-13,0,0,0,170
Yukon,YT,North,35874,2020-05-13,0,0,0,12
Northwest Territories,NT,North,41786,2020-05-13,0,0,0,0
Nunavut,NU,North,35944,2020-05-13,0,0,0,4
British Columbia,BC,West Coast,4648055,2020-05-14,16,3,26,1687
Alberta,AB,Prairies,4067175,2020-05-14,50,1,129,3921
Saskatchewan,SK,Prairies,1098352,2020-05-14,5,0,13,475
Manitoba,MB,Prairies,1278365,2020-05-14,0,0,1,326
Ontario,ON,Central,13448494,2020-05-14,345,33,359,16859
Quebec,QC,Central,8164361,2020-05-14,793,131,359,6401
Newfoundland and Labrador,NL,Atlantic,519716,2020-05-14,0,0,1,126
New Brunswick,NB,Atlantic,747101,2020-05-14,0,0,0,407
Nova Scotia,NS,Atlantic,923598,2020-05-14,2,0,39,381
Prince Edward Island,PE,Atlantic,142907,2020-05-14,0,0,0,107
Yukon,YT,North,35874,2020-05-14,0,0,0,6
Northwest Territories,NT,North,41786,2020-05-14,0,0,0,11
Nunavut,NU,North,35944,2020-05-14,0,0,0,9
British Columbia,BC,West Coast,4648055,2020-05-15,15,5,23,1542
Alberta,AB,Prairies,4067175,2020-05-15,58,4,112,3680
Saskatchewan,SK,Prairies,1098352,2020-05-15,8,0,10,422
Manitoba,MB,Prairies,1278365,2020-05-15,0,0,2,750
Ontario,ON,Central,13448494,2020-05-15,341,27,437,17753
Quebec,QC,Central,8164361,2020-05-15,696,50,210,7939
Newfoundland and Labrador,NL,Atlantic,519716,2020-05-15,0,0,0,68
New Brunswick,NB,Atlantic,747101,2020-05-15,0,0,1,415
Nova Scotia,NS,Atlantic,923598,2020-05-15,8,4,9,395
Prince Edward Island,PE,Atlantic,142907,2020-05-15,0,0,0,163
Yukon,YT,North,35874,2020-05-15,0,0,0,7
Northwest Territories,NT,North,41786,2020-05-15,0,0,0,13
Nunavut,NU,North,35944,2020-05-15,0,0,0,11
British Columbia,BC,West Coast,4648055,2020-05-16,21,1,24,1597
Alberta,AB,Prairies,4067175,2020-05-16,72,1,60,3873
Saskatchewan,SK,Prairies,1098352,2020-05-16,1,0,25,731
Manitoba,MB,Prairies,1278365,2020-05-16,0,0,3,803
Ontario,ON,Central,13448494,2020-05-16,391,33,379,17187
Quebec,QC,Central,8164361,2020-05-16,763,82,419,8604
Newfoundland and Labrador,NL,Atlantic,519716,2020-05-16,0,0,1,181
New Brunswick,NB,Atlantic,747101,2020-05-16,0,0,1,188
Nova Scotia,NS,Atlantic,923598,2020-05-16,3,0,12,329
Prince Edward Island,PE,Atlantic,142907,2020-05-16,0,0,0,0
Yukon,YT,North,35874,2020-05-16,0,0,0,5
Northwest Territories,NT,North,41786,2020-05-16,0,0,0,10
Nunavut,NU,North,35944,2020-05-16,0,0,0,0
British Columbia,BC,West Coast,4648055,2020-05-17,0,0,0,1140
Alberta,AB,Prairies,4067175,2020-05-17,57,1,76,3211
Saskatchewan,SK,Prairies,1098352,2020-05-17,1,0,11,586
Manitoba,MB,Prairies,1278365,2020-05-17,0,0,0,747
Ontario,ON,Central,13448494,2020-05-17,340,23,340,15687
Quebec,QC,Central,8164361,2020-05-17,737,79,296,8310
Newfoundland and Labrador,NL,Atlantic,519716,2020-05-17,0,0,0,98
New Brunswick,NB,Atlantic,747101,2020-05-17,0,0,0,235
Nova Scotia,NS,Atlantic,923598,2020-05-17,3,0,8,267
Prince Edward Island,PE,Atlantic,142907,2020-05-17,0,0,0,150
Yukon,YT,North,35874,2020-05-17,0,0,0,0
Northwest Territories,NT,North,41786,2020-05-17,0,0,0,14
Nunavut,NU,North,35944,2020-05-17,0,0,0,30
British Columbia,BC,West Coast,4648055,2020-05-18,16,2,34,2052
Alberta,AB,Prairies,4067175,2020-05-18,39,1,66,2928
Saskatchewan,SK,Prairies,1098352,2020-05-18,0,0,11,294
Manitoba,MB,Prairies,1278365,2020-05-18,1,0,0,456
Ontario,ON,Central,13448494,2020-05-18,304,23,278,8856
Quebec,QC,Central,8164361,2020-05-18,707,34,291,7450
Newfoundland and Labrador,NL,Atlantic,519716,2020-05-18,0,0,0,51
New Brunswick,NB,Atlantic,747101,2020-05-18,0,0,0,250
Nova Scotia,NS,Atlantic,923598,2020-05-18,3,0,8,223
Prince Edward Island,PE,Atlantic,142907,2020-05-18,0,0,0,142
Yukon,YT,North,35874,2020-05-18,0,0,0,0
Northwest Territories,NT,North,41786,2020-05-18,0,0,0,14
Nunavut,NU,North,35944,2020-05-18,0,0,0,2
British Columbia,BC,West Coast,4648055,2020-05-19,2,3,9,1746
Alberta,AB,Prairies,4067175,2020-05-19,33,0,65,2046
Saskatchewan,SK,Prairies,1098352,2020-05-19,7,0,15,367
Manitoba,MB,Prairies,1278365,2020-05-19,0,0,0,394
Ontario,ON,Central,13448494,2020-05-19,427,15,260,5623
Quebec,QC,Central,8164361,2020-05-19,570,51,452,5870
Newfoundland and Labrador,NL,Atlantic,519716,2020-05-19,0,0,1,71
New Brunswick,NB,Atlantic,747101,2020-05-19,0,0,0,193
Nova Scotia,NS,Atlantic,923598,2020-05-19,1,1,10,188
Prince Edward Island,PE,Atlantic,142907,2020-05-19,0,0,0,0
Yukon,YT,North,35874,2020-05-19,0,0,0,10
Northwest Territories,NT,North,41786,2020-05-19,0,0,0,11
Nunavut,NU,North,35944,2020-05-19,0,0,0,5
British Columbia,BC,West Coast,4648055,2020-05-20,21,3,26,328
Alberta,AB,Prairies,4067175,2020-05-20,0,0,0,2114
Saskatchewan,SK,Prairies,1098352,2020-05-20,21,0,0,268
Manitoba,MB,Prairies,1278365,2020-05-20,0,0,0,241
Ontario,ON,Central,13448494,2020-05-20,390,43,292,7140
Quebec,QC,Central,8164361,2020-05-20,578,71,325,5582
Newfoundland and Labrador,NL,Atlantic,519716,2020-05-20,0,0,0,97
New Brunswick,NB,Atlantic,747101,2020-05-20,0,0,0,292
Nova Scotia,NS,Atlantic,923598,2020-05-20,1,1,0,338
Prince Edward Island,PE,Atlantic,142907,2020-05-20,0,0,0,190
Yukon,YT,North,35874,2020-05-20,0,0,0,7
Northwest Territories,NT,North,41786,2020-05-20,0,0,0,0
Nunavut,NU,North,35944,2020-05-20,0,0,0,11
British Columbia,BC,West Coast,4648055,2020-05-21,12,3,19,1168
Alberta,AB,Prairies,4067175,2020-05-21,52,4,126,2381
Saskatchewan,SK,Prairies,1098352,2020-05-21,2,1,39,400
Manitoba,MB,Prairies,1278365,2020-05-21,0,0,8,590
Ontario,ON,Central,13448494,2020-05-21,413,31,319,10163
Quebec,QC,Central,8164361,2020-05-21,720,82,505,7488
Newfoundland and Labrador,NL,Atlantic,519716,2020-05-21,0,0,3,126
New Brunswick,NB,Atlantic,747101,2020-05-21,1,0,0,359
Nova Scotia,NS,Atlantic,923598,2020-05-21,1,1,3,343
Prince Edward Island,PE,Atlantic,142907,2020-05-21,0,0,0,115
Yukon,YT,North,35874,2020-05-21,0,0,0,1
Northwest Territories,NT,North,41786,2020-05-21,0,0,0,9
Nunavut,NU,North,35944,2020-05-21,0,0,0,9
British Columbia,BC,West Coast,4648055,2020-05-22,28,3,22,1524
Alberta,AB,Prairies,4067175,2020-05-22,32,2,91,3634
Saskatchewan,SK,Prairies,1098352,2020-05-22,5,0,12,340
Manitoba,MB,Prairies,1278365,2020-05-22,2,0,2,867
Ontario,ON,Central,13448494,2020-05-22,441,28,258,10907
Quebec,QC,Central,8164361,2020-05-22,646,65,492,7456
Newfoundland and Labrador,NL,Atlantic,519716,2020-05-22,0,0,0,129
New Brunswick,NB,Atlantic,747101,2020-05-22,0,0,0,205
Nova Scotia,NS,Atlantic,923598,2020-05-22,2,0,2,338
Prince Edward Island,PE,Atlantic,142907,2020-05-22,0,0,0,135
Yukon,YT,North,35874,2020-05-22,0,0,0,3
Northwest Territories,NT,North,41786,2020-05-22,0,0,0,7
Nunavut,NU,North,35944,2020-05-22,0,0,0,8
British Columbia,BC,West Coast,4648055,2020-05-23,10,2,15,1702
Alberta,AB,Prairies,4067175,2020-05-23,18,1,68,3312
Saskatchewan,SK,Prairies,1098352,2020-05-23,3,0,14,487
Manitoba,MB,Prairies,1278365,2020-05-23,0,0,1,435
Ontario,ON,Central,13448494,2020-05-23,412,27,379,10667
Quebec,QC,Central,8164361,2020-05-23,697,75,225,9192
Newfoundland and Labrador,NL,Atlantic,519716,2020-05-23,0,0,1,111
New Brunswick,NB,Atlantic,747101,2020-05-23,0,0,0,254
Nova Scotia,NS,Atlantic,923598,2020-05-23,1,0,8,359
Prince Edward Island,PE,Atlantic,142907,2020-05-23,0,0,0,179
Yukon,YT,North,35874,2020-05-23,0,0,0,0
Northwest Territories,NT,North,41786,2020-05-23,0,0,0,0
Nunavut,NU,North,35944,2020-05-23,0,0,0,5
British Columbia,BC,West Coast,4648055,2020-05-24,0,0,0,1613
Alberta,AB,Prairies,4067175,2020-05-24,42,0,55,3444
Saskatchewan,SK,Prairies,1098352,2020-05-24,2,0,3,366
Manitoba,MB,Prairies,1278365,2020-05-24,0,0,0,878
Ontario,ON,Central,13448494,2020-05-24,460,25,331,11011
Quebec,QC,Central,8164361,2020-05-24,573,44,287,9241
Newfoundland and Labrador,NL,Atlantic,519716,2020-05-24,0,0,0,78
New Brunswick,NB,Atlantic,747101,2020-05-24,0,0,0,201
Nova Scotia,NS,Atlantic,923598,2020-05-24,1,0,4,358
Prince Edward Island,PE,Atlantic,142907,2020-05-24,0,0,0,102
Yukon,YT,North,35874,2020-05-24,0,0,0,0
Northwest Territories,NT,North,41786,2020-05-24,0,0,0,0
Nunavut,NU,North,35944,2020-05-24,0,0,0,9
British Columbia,BC,West Coast,4648055,2020-05-25,13,4,45,1646
Alberta,AB,Prairies,4067175,2020-05-25,19,3,55,2572
Saskatchewan,SK,Prairies,1098352,2020-05-25,2,0,8,379
Manitoba,MB,Prairies,1278365,2020-05-25,0,0,0,169
Ontario,ON,Central,13448494,2020-05-25,404,29,221,7903
Quebec,QC,Central,8164361,2020-05-25,573,85,323,9557
Newfoundland and Labrador,NL,Atlantic,519716,2020-05-25,0,0,0,48
New Brunswick,NB,Atlantic,747101,2020-05-25,0,0,0,268
Nova Scotia,NS,Atlantic,923598,2020-05-25,1,0,1,506
Prince Edward Island,PE,Atlantic,142907,2020-05-25,0,0,0,71
Yukon,YT,North,35874,2020-05-25,0,0,0,9
Northwest Territories,NT,North,41786,2020-05-25,0,0,0,49
Nunavut,NU,North,35944,2020-05-25,0,0,0,3
British Columbia,BC,West Coast,4648055,2020-05-26,11,0,20,464
Alberta,AB,Prairies,4067175,2020-05-26,22,1,69,2433
Saskatchewan,SK,Prairies,1098352,2020-05-26,0,1,3,205
Manitoba,MB,Prairies,1278365,2020-05-26,0,0,1,703
Ontario,ON,Central,13448494,2020-05-26,287,21,260,9552
Quebec,QC,Central,8164361,2020-05-26,614,70,345,6157
Newfoundland and Labrador,NL,Atlantic,519716,2020-05-26,0,0,1,141
New Brunswick,NB,Atlantic,747101,2020-05-26,1,0,0,288
Nova Scotia,NS,Atlantic,923598,2020-05-26,1,1,2,498
Prince Edward Island,PE,Atlantic,142907,2020-05-26,0,0,0,78
Yukon,YT,North,35874,2020-05-26,0,0,0,0
Northwest Territories,NT,North,41786,2020-05-26,0,0,0,0
Nunavut,NU,North,35944,2020-05-26,0,0,0,3
British Columbia,BC,West Coast,4648055,2020-05-27,9,1,22,1493
Alberta,AB,Prairies,4067175,2020-05-27,25,2,58,2598
Saskatchewan,SK,Prairies,1098352,2020-05-27,3,2,10,460
Manitoba,MB,Prairies,1278365,2020-05-27,0,0,2,1015
Ontario,ON,Central,13448494,2020-05-27,292,32,414,14638
Quebec,QC,Central,8164361,2020-05-27,541,89,320,6284
Newfoundland and Labrador,NL,Atlantic,519716,2020-05-27,0,0,0,94
New Brunswick,NB,Atlantic,747101,2020-05-27,1,0,0,324
Nova Scotia,NS,Atlantic,923598,2020-05-27,1,0,0,741
Prince Edward Island,PE,Atlantic,142907,2020-05-27,0,0,0,258
Yukon,YT,North,35874,2020-05-27,0,0,0,5
Northwest Territories,NT,North,41786,2020-05-27,0,0,0,18
Nunavut,NU,North,35944,2020-05-27,0,0,0,13
British Columbia,BC,West Coast,4648055,2020-05-28,8,2,9,1415
Alberta,AB,Prairies,4067175,2020-05-28,29,2,54,2593
Saskatchewan,SK,Prairies,1098352,2020-05-28,2,0,9,636
Manitoba,MB,Prairies,1278365,2020-05-28,2,0,2,919
Ontario,ON,Central,13448494,2020-05-28,383,34,301,17039
Quebec,QC,Central,8164361,2020-05-28,563,74,299,7076
Newfoundland and Labrador,NL,Atlantic,519716,2020-05-28,1,0,0,201
New Brunswick,NB,Atlantic,747101,2020-05-28,3,0,0,336
Nova Scotia,NS,Atlantic,923598,2020-05-28,2,0,2,708
Prince Edward Island,PE,Atlantic,142907,2020-05-28,0,0,0,0
Yukon,YT,North,35874,2020-05-28,0,0,0,4
Northwest Territories,NT,North,41786,2020-05-28,0,0,0,21
Nunavut,NU,North,35944,2020-05-28,0,0,0,15
British Columbia,BC,West Coast,4648055,2020-05-29,4,0,17,1822
Alberta,AB,Prairies,4067175,2020-05-29,24,0,60,3311
Saskatchewan,SK,Prairies,1098352,2020-05-29,2,0,2,509
Manitoba,MB,Prairies,1278365,2020-05-29,0,0,0,869
Ontario,ON,Central,13448494,2020-05-29,344,41,310,17920
Quebec,QC,Central,8164361,2020-05-29,530,61,290,8661
Newfoundland and Labrador,NL,Atlantic,519716,2020-05-29,0,0,0,102
New Brunswick,NB,Atlantic,747101,2020-05-29,2,0,0,528
Nova Scotia,NS,Atlantic,923598,2020-05-29,0,0,1,526
Prince Edward Island,PE,Atlantic,142907,2020-05-29,0,0,0,279
Yukon,YT,North,35874,2020-05-29,0,0,0,13
Northwest Territories,NT,North,41786,2020-05-29,0,0,0,7
Nunavut,NU,North,35944,2020-05-29,0,0,0,8
British Columbia,BC,West Coast,4648055,2020-05-30,11,0,11,1574
Alberta,AB,Prairies,4067175,2020-05-30,13,0,25,3027
Saskatchewan,SK,Prairies,1098352,2020-05-30,4,0,10,560
Manitoba,MB,Prairies,1278365,2020-05-30,0,0,5,0
Ontario,ON,Central,13448494,2020-05-30,323,17,370,19965
Quebec,QC,Central,8164361,2020-05-30,419,76,162,11099
Newfoundland and Labrador,NL,Atlantic,519716,2020-05-30,0,0,0,202
New Brunswick,NB,Atlantic,747101,2020-05-30,1,0,0,649
Nova Scotia,NS,Atlantic,923598,2020-05-30,1,1,0,595
Prince Edward Island,PE,Atlantic,142907,2020-05-30,0,0,0,134
Yukon,YT,North,35874,2020-05-30,0,0,0,0
Northwest Territories,NT,North,41786,2020-05-30,0,0,0,0
Nunavut,NU,North,35944,2020-05-30,0,0,0,23
British Columbia,BC,West Coast,4648055,2020-05-31,0,0,0,1720
Alberta,AB,Prairies,4067175,2020-05-31,18,0,38,2713
Saskatchewan,SK,Prairies,1098352,2020-05-31,1,1,2,610
Manitoba,MB,Prairies,1278365,2020-05-31,1,0,0,0
Ontario,ON,Central,13448494,2020-05-31,326,19,457,16457
Quebec,QC,Central,8164361,2020-05-31,408,202,276,7904
Newfoundland and Labrador,NL,Atlantic,519716,2020-05-31,0,0,0,115
New Brunswick,NB,Atlantic,747101,2020-05-31,3,0,0,1510
Nova Scotia,NS,Atlantic,923598,2020-05-31,0,0,3,383
Prince Edward Island,PE,Atlantic,142907,2020-05-31,0,0,0,136
Yukon,YT,North,35874,2020-05-31,0,0,0,0
Northwest Territories,NT,North,41786,2020-05-31,0,0,0,0
Nunavut,NU,North,35944,2020-05-31,0,0,0,6
British Columbia,BC,West Coast,4648055,2020-06-01,24,1,26,495
Alberta,AB,Prairies,4067175,2020-06-01,34,0,218,2332
Saskatchewan,SK,Prairies,1098352,2020-06-01,0,0,6,373
Manitoba,MB,Prairies,1278365,2020-06-01,0,0,0,2229
Ontario,ON,Central,13448494,2020-06-01,404,10,343,13909
Quebec,QC,Central,8164361,2020-06-01,295,20,251,7983
Newfoundland and Labrador,NL,Atlantic,519716,2020-06-01,0,0,0,65
New Brunswick,NB,Atlantic,747101,2020-06-01,0,0,0,2162
Nova Scotia,NS,Atlantic,923598,2020-06-01,1,0,3,389
Prince Edward Island,PE,Atlantic,142907,2020-06-01,0,0,0,93
Yukon,YT,North,35874,2020-06-01,0,0,0,0
Northwest Territories,NT,North,41786,2020-06-01,0,0,0,51
Nunavut,NU,North,35944,2020-06-01,0,0,0,6
British Columbia,BC,West Coast,4648055,2020-06-02,4,0,22,1630
Alberta,AB,Prairies,4067175,2020-06-02,13,0,36,2730
Saskatchewan,SK,Prairies,1098352,2020-06-02,0,0,14,275
Manitoba,MB,Prairies,1278365,2020-06-02,2,0,0,593
Ontario,ON,Central,13448494,2020-06-02,446,17,331,14746
Quebec,QC,Central,8164361,2020-06-02,239,52,206,5535
Newfoundland and Labrador,NL,Atlantic,519716,2020-06-02,0,0,1,180
New Brunswick,NB,Atlantic,747101,2020-06-02,1,0,0,1998
Nova Scotia,NS,Atlantic,923598,2020-06-02,0,0,8,504
Prince Edward Island,PE,Atlantic,142907,2020-06-02,0,0,0,114
Yukon,YT,North,35874,2020-06-02,0,0,0,16
Northwest Territories,NT,North,41786,2020-06-02,0,0,0,3
Nunavut,NU,North,35944,2020-06-02,0,0,0,8
British Columbia,BC,West Coast,4648055,2020-06-03,22,1,14,1276
Alberta,AB,Prairies,4067175,2020-06-03,19,2,50,4303
Saskatchewan,SK,Prairies,1098352,2020-06-03,1,0,0,440
Manitoba,MB,Prairies,1278365,2020-06-03,1,0,4,728
Ontario,ON,Central,13448494,2020-06-03,338,19,327,16963
Quebec,QC,Central,8164361,2020-06-03,291,81,295,6244
Newfoundland and Labrador,NL,Atlantic,519716,2020-06-03,0,0,0,168
New Brunswick,NB,Atlantic,747101,2020-06-03,2,0,0,950
Nova Scotia,NS,Atlantic,923598,2020-06-03,1,0,1,464
Prince Edward Island,PE,Atlantic,142907,2020-06-03,0,0,0,131
Yukon,YT,North,35874,2020-06-03,0,0,0,0
Northwest Territories,NT,North,41786,2020-06-03,0,0,0,0
Nunavut,NU,North,35944,2020-06-03,0,0,0,9
British Columbia,BC,West Coast,4648055,2020-06-04,9,0,22,1647
Alberta,AB,Prairies,4067175,2020-06-04,15,1,24,3643
Saskatchewan,SK,Prairies,1098352,2020-06-04,1,0,6,664
Manitoba,MB,Prairies,1278365,2020-06-04,0,0,2,905
Ontario,ON,Central,13448494,2020-06-04,356,45,397,20141
Quebec,QC,Central,8164361,2020-06-04,259,91,238,6706
Newfoundland and Labrador,NL,Atlantic,519716,2020-06-04,0,0,0,202
New Brunswick,NB,Atlantic,747101,2020-06-04,1,1,0,493
Nova Scotia,NS,Atlantic,923598,2020-06-04,0,1,2,580
Prince Edward Island,PE,Atlantic,142907,2020-06-04,0,0,0,149
Yukon,YT,North,35874,2020-06-04,0,0,0,9
Northwest Territories,NT,North,41786,2020-06-04,0,0,0,28
Nunavut,NU,North,35944,2020-06-04,0,0,0,13
British Columbia,BC,West Coast,4648055,2020-06-05,0,1,7,1762
Alberta,AB,Prairies,4067175,2020-06-05,7,0,13,5627
Saskatchewan,SK,Prairies,1098352,2020-06-05,1,0,3,587
Manitoba,MB,Prairies,1278365,2020-06-05,2,0,0,635
Ontario,ON,Central,13448494,2020-06-05,344,15,375,21987
Quebec,QC,Central,8164361,2020-06-05,255,50,428,7595
Newfoundland and Labrador,NL,Atlantic,519716,2020-06-05,0,0,0,132
New Brunswick,NB,Atlantic,747101,2020-06-05,0,0,1,375
Nova Scotia,NS,Atlantic,923598,2020-06-05,0,0,2,485
Prince Edward Island,PE,Atlantic,142907,2020-06-05,0,0,0,186
Yukon,YT,North,35874,2020-06-05,0,0,0,0
Northwest Territories,NT,North,41786,2020-06-05,0,0,0,14
Nunavut,NU,North,35944,2020-06-05,0,0,0,7
British Columbia,BC,West Coast,4648055,2020-06-06,0,0,0,1619
Alberta,AB,Prairies,4067175,2020-06-06,40,0,32,4981
Saskatchewan,SK,Prairies,1098352,2020-06-06,1,0,0,495
Manitoba,MB,Prairies,1278365,2020-06-06,0,0,0,0
Ontario,ON,Central,13448494,2020-06-06,455,35,364,22349
Quebec,QC,Central,8164361,2020-06-06,226,35,648,6875
Newfoundland and Labrador,NL,Atlantic,519716,2020-06-06,0,0,0,257
New Brunswick,NB,Atlantic,747101,2020-06-06,0,0,0,438
Nova Scotia,NS,Atlantic,923598,2020-06-06,0,0,2,670
Prince Edward Island,PE,Atlantic,142907,2020-06-06,0,0,0,86
Yukon,YT,North,35874,2020-06-06,0,0,0,0
Northwest Territories,NT,North,41786,2020-06-06,0,0,0,0
Nunavut,NU,North,35944,2020-06-06,0,0,0,9
British Columbia,BC,West Coast,4648055,2020-06-07,0,0,0,1065
Alberta,AB,Prairies,4067175,2020-06-07,0,0,0,0
Saskatchewan,SK,Prairies,1098352,2020-06-07,0,0,12,438
Manitoba,MB,Prairies,1278365,2020-06-07,0,0,0,0
Ontario,ON,Central,13448494,2020-06-07,415,19,305,18741
Quebec,QC,Central,8164361,2020-06-07,225,8,302,7235
Newfoundland and Labrador,NL,Atlantic,519716,2020-06-07,0,0,0,143
New Brunswick,NB,Atlantic,747101,2020-06-07,1,0,0,362
Nova Scotia,NS,Atlantic,923598,2020-06-07,1,0,0,309
Prince Edward Island,PE,Atlantic,142907,2020-06-07,0,0,0,247
Yukon,YT,North,35874,2020-06-07,0,0,0,0
Northwest Territories,NT,North,41786,2020-06-07,0,0,0,0
Nunavut,NU,North,35944,2020-06-07,0,0,0,5
British Columbia,BC,West Coast,4648055,2020-06-08,27,0,37,580
Alberta,AB,Prairies,4067175,2020-06-08,64,3,42,9632
Saskatchewan,SK,Prairies,1098352,2020-06-08,4,2,1,454
Manitoba,MB,Prairies,1278365,2020-06-08,0,0,0,2038
Ontario,ON,Central,13448494,2020-06-08,243,24,240,14855
Quebec,QC,Central,8164361,2020-06-08,198,6,280,4905
Newfoundland and Labrador,NL,Atlantic,519716,2020-06-08,0,0,0,88
New Brunswick,NB,Atlantic,747101,2020-06-08,9,0,0,336
Nova Scotia,NS,Atlantic,923598,2020-06-08,0,0,0,329
Prince Edward Island,PE,Atlantic,142907,2020-06-08,0,0,0,50
Yukon,YT,North,35874,2020-06-08,0,0,0,13
Northwest Territories,NT,North,41786,2020-06-08,0,0,0,33
Nunavut,NU,North,35944,2020-06-08,0,0,0,6
British Columbia,BC,West Coast,4648055,2020-06-09,10,0,10,2087
Alberta,AB,Prairies,4067175,2020-06-09,27,2,24,4304
Saskatchewan,SK,Prairies,1098352,2020-06-09,2,0,0,237
Manitoba,MB,Prairies,1278365,2020-06-09,0,0,1,590
Ontario,ON,Central,13448494,2020-06-09,230,14,337,13067
Quebec,QC,Central,8164361,2020-06-09,138,45,367,3847
Newfoundland and Labrador,NL,Atlantic,519716,2020-06-09,0,0,0,282
New Brunswick,NB,Atlantic,747101,2020-06-09,1,0,0,424
Nova Scotia,NS,Atlantic,923598,2020-06-09,1,1,0,472
Prince Edward Island,PE,Atlantic,142907,2020-06-09,0,0,0,240
Yukon,YT,North,35874,2020-06-09,0,0,0,5
Northwest Territories,NT,North,41786,2020-06-09,0,0,0,9
Nunavut,NU,North,35944,2020-06-09,0,0,0,14
British Columbia,BC,West Coast,4648055,2020-06-10,11,0,9,1547
Alberta,AB,Prairies,4067175,2020-06-10,47,0,32,5589
Saskatchewan,SK,Prairies,1098352,2020-06-10,2,0,0,483
Manitoba,MB,Prairies,1278365,2020-06-10,0,0,0,633
Ontario,ON,Central,13448494,2020-06-10,251,11,551,19289
Quebec,QC,Central,8164361,2020-06-10,156,52,480,4826
Newfoundland and Labrador,NL,Atlantic,519716,2020-06-10,0,0,0,165
New Brunswick,NB,Atlantic,747101,2020-06-10,4,0,0,357
Nova Scotia,NS,Atlantic,923598,2020-06-10,1,0,0,473
Prince Edward Island,PE,Atlantic,142907,2020-06-10,0,0,0,145
Yukon,YT,North,35874,2020-06-10,0,0,0,9
Northwest Territories,NT,North,41786,2020-06-10,0,0,0,8
Nunavut,NU,North,35944,2020-06-10,0,0,0,12
British Columbia,BC,West Coast,4648055,2020-06-11,14,0,16,1318
Alberta,AB,Prairies,4067175,2020-06-11,40,0,34,6232
Saskatchewan,SK,Prairies,1098352,2020-06-11,2,0,2,626
Manitoba,MB,Prairies,1278365,2020-06-11,0,0,1,734
Ontario,ON,Central,13448494,2020-06-11,203,12,505,23545
Quebec,QC,Central,8164361,2020-06-11,144,24,458,5506
Newfoundland and Labrador,NL,Atlantic,519716,2020-06-11,0,0,0,201
New Brunswick,NB,Atlantic,747101,2020-06-11,2,0,2,366
Nova Scotia,NS,Atlantic,923598,2020-06-11,0,0,1,449
Prince Edward Island,PE,Atlantic,142907,2020-06-11,0,0,0,231
Yukon,YT,North,35874,2020-06-11,0,0,0,4
Northwest Territories,NT,North,41786,2020-06-11,0,0,0,19
Nunavut,NU,North,35944,2020-06-11,0,0,0,10
British Columbia,BC,West Coast,4648055,2020-06-12,15,1,10,1631
Alberta,AB,Prairies,4067175,2020-06-12,30,0,23,6541
Saskatchewan,SK,Prairies,1098352,2020-06-12,3,0,1,548
Manitoba,MB,Prairies,1278365,2020-06-12,1,0,3,739
Ontario,ON,Central,13448494,2020-06-12,182,11,302,27408
Quebec,QC,Central,8164361,2020-06-12,181,43,524,5396
Newfoundland and Labrador,NL,Atlantic,519716,2020-06-12,0,0,0,165
New Brunswick,NB,Atlantic,747101,2020-06-12,1,0,2,399
Nova Scotia,NS,Atlantic,923598,2020-06-12,0,0,0,613
Prince Edward Island,PE,Atlantic,142907,2020-06-12,0,0,0,131
Yukon,YT,North,35874,2020-06-12,0,0,0,3
Northwest Territories,NT,North,41786,2020-06-12,0,0,0,11
Nunavut,NU,North,35944,2020-06-12,0,0,0,15
British Columbia,BC,West Coast,4648055,2020-06-13,0,0,0,1680
Alberta,AB,Prairies,4067175,2020-06-13,37,1,19,5779
Saskatchewan,SK,Prairies,1098352,2020-06-13,1,0,1,508
Manitoba,MB,Prairies,1278365,2020-06-13,2,0,0,646
Ontario,ON,Central,13448494,2020-06-13,266,9,351,26559
Quebec,QC,Central,8164361,2020-06-13,158,47,458,5416
Newfoundland and Labrador,NL,Atlantic,519716,2020-06-13,0,0,0,183
New Brunswick,NB,Atlantic,747101,2020-06-13,3,1,1,432
